id;cost;status
1;3;0
2;4;0
3;3;0
4;3;0
5;3;0
6;3;0
7;3;0
8;3;0
9;3;0
10;3;0
11;3;0
12;3;0
13;3;0
14;3;0
15;3;0
16;3;0
17;3;0
18;3;0
19;3;0
20;3;0
21;3;0
22;3;0
23;3;0
24;3;0
25;3;0
26;3;0
27;3;0
28;3;0
29;3;0
30;3;0
31;3;0
32;3;0
33;3;0
34;3;0
35;3;0
36;3;0
37;3;0
38;3;0
39;3;0
40;3;0
41;3;0
42;3;0
43;3;0
44;3;0
45;3;0
46;3;0
47;3;0
48;3;0
49;3;0
50;3;0
51;3;0
52;4;0
53;3;0
54;3;0
55;3;0
56;3;0
57;3;0
58;3;0
59;5;0
60;3;0
61;3;0
62;3;0
63;5;0
64;3;0
65;3;0
66;3;0
67;3;0
68;3;0
69;3;0
70;3;0
71;3;0
72;3;0
73;3;0
74;3;0
75;3;0
76;3;0
77;3;0
78;3;0
79;3;0
80;3;0
81;3;0
82;3;0
83;3;0
84;3;0
85;3;0
86;3;0
87;3;0
88;3;0
89;3;0
90;3;0
91;3;0
92;3;0
93;3;0
94;3;0
95;3;0
96;4;0
97;4;0
98;3;0
99;3;0
100;3;0
101;3;0
102;3;0
103;3;0
104;5;0
105;5;0
106;3;0
107;3;0
108;3;0
109;5;0
110;3;0
111;3;0
112;3;0
113;3;0
114;3;0
115;3;0
116;3;0
117;3;0
118;5;0
119;3;0
120;3;0
121;5;0
122;5;0
123;5;0
124;3;0
125;3;0
126;4;0
127;3;0
128;3;0
129;5;0
130;3;0
131;3;0
132;3;0
133;3;0
134;5;0
135;3;0
136;5;0
137;3;0
138;3;0
139;3;0
140;3;0
141;5;0
142;4;0
143;3;0
144;3;0
145;3;0
146;4;0
147;3;0
148;3;0
149;3;0
150;3;0
151;4;0
152;3;0
153;4;0
154;4;0
155;3;0
156;3;0
157;3;0
158;3;0
159;3;0
160;3;0
161;3;0
162;4;0
163;4;0
164;3;0
165;3;0
166;4;0
167;4;0
168;3;0
169;4;0
170;4;0
171;4;0
172;3;0
173;4;0
174;4;0
175;3;0
176;4;0
177;4;0
178;3;0
179;4;0
180;3;0
181;3;0
182;3;0
183;4;0
184;3;0
185;5;0
186;4;0
187;3;0
188;4;0
189;3;0
190;4;0
191;4;0
192;4;0
193;3;0
194;5;0
195;3;0
196;5;0
197;3;0
198;5;0
199;4;0
200;3;0
201;3;0
202;3;0
203;4;0
204;3;0
205;3;0
206;3;0
207;3;0
208;3;0
209;3;0
210;4;0
211;5;0
212;5;0
213;4;0
214;3;0
215;4;0
216;4;0
217;3;0
218;3;0
219;3;0
220;4;0
221;3;0
222;3;0
223;3;0
224;4;0
225;3;0
226;3;0
227;4;0
228;3;0
229;4;0
230;4;0
231;4;0
232;4;0
233;3;0
234;3;0
235;4;0
236;3;0
237;3;0
238;3;0
239;3;0
240;5;0
241;4;0
242;4;0
243;3;0
244;3;0
245;3;0
246;3;0
247;4;0
248;4;0
249;4;0
250;4;0
251;3;0
252;3;0
253;4;0
254;3;0
255;4;0
256;3;0
257;5;0
258;3;0
259;3;0
260;3;0
261;3;0
262;3;0
263;4;0
264;3;0
265;3;0
266;3;0
267;3;0
268;3;0
269;4;0
270;4;0
271;4;0
272;4;0
273;3;0
274;3;0
275;3;0
276;3;0
277;3;0
278;4;0
279;4;0
280;4;0
281;4;0
282;4;0
283;4;0
284;3;0
285;3;0
286;3;0
287;3;0
288;4;0
289;4;0
290;4;0
291;4;0
292;3;0
293;4;0
294;4;0
295;3;0
296;3;0
297;4;0
298;3;0
299;4;0
300;2;0
301;3;0
302;3;0
303;3;0
304;3;0
305;4;0
306;3;0
307;4;0
308;4;0
309;3;0
310;4;0
311;3;0
312;4;0
313;4;0
314;3;0
315;4;0
316;3;0
317;4;0
318;4;0
319;5;0
320;4;0
321;4;0
322;4;0
323;5;0
324;4;0
325;4;0
326;3;0
327;4;0
328;4;0
329;4;0
330;4;0
331;4;0
332;4;0
333;4;0
334;3;0
335;3;0
336;3;0
337;4;0
338;4;0
339;4;0
340;4;0
341;5;0
342;4;0
343;3;0
344;3;0
345;3;0
346;4;0
347;4;0
348;3;0
349;5;0
350;3;0
351;3;0
352;3;0
353;3;0
354;4;0
355;3;0
356;4;0
357;4;0
358;3;0
359;3;0
360;4;0
361;4;0
362;3;0
363;3;0
364;5;0
365;3;0
366;4;0
367;4;0
368;4;0
369;4;0
370;4;0
371;4;0
372;4;0
373;4;0
374;3;0
375;3;0
376;4;0
377;3;0
378;4;0
379;3;0
380;3;0
381;3;0
382;4;0
383;3;0
384;5;0
385;4;0
386;4;0
387;3;0
388;3;0
389;3;0
390;3;0
391;3;0
392;5;0
393;5;0
394;5;0
395;4;0
396;4;0
397;4;0
398;4;0
399;4;0
400;4;0
401;4;0
402;4;0
403;3;0
404;4;0
405;3;0
406;4;0
407;3;0
408;4;0
409;4;0
410;4;0
411;4;0
412;3;0
413;4;0
414;5;0
415;4;0
416;3;0
417;3;0
418;3;0
419;3;0
420;4;0
421;5;0
422;4;0
423;4;0
424;4;0
425;4;0
426;4;0
427;3;0
428;4;0
429;4;0
430;4;0
431;4;0
432;4;0
433;4;0
434;3;0
435;4;0
436;4;0
437;4;0
438;3;0
439;4;0
440;4;0
441;4;0
442;4;0
443;3;0
444;4;0
445;4;0
446;3;0
447;4;0
448;3;0
449;4;0
450;4;0
451;3;0
452;3;0
453;4;0
454;4;0
455;4;0
456;5;0
457;4;0
458;4;0
459;4;0
460;4;0
461;4;0
462;3;0
463;4;0
464;3;0
465;4;0
466;5;0
467;3;0
468;4;0
469;4;0
470;3;0
471;3;0
472;3;0
473;4;0
474;3;0
475;3;0
476;4;0
477;3;0
478;3;0
479;5;0
480;3;0
481;4;0
482;5;0
483;3;0
484;4;0
485;4;0
486;4;0
487;3;0
488;4;0
489;4;0
490;4;0
491;3;0
492;3;0
493;3;0
494;3;0
495;5;0
496;4;0
497;4;0
498;4;0
499;4;0
500;3;0
501;4;0
502;3;0
503;4;0
504;3;0
505;4;0
506;3;0
507;3;0
508;4;0
509;4;0
510;4;0
511;3;0
512;3;0
513;3;0
514;5;0
515;4;0
516;4;0
517;4;0
518;3;0
519;4;0
520;3;0
521;3;0
522;3;0
523;3;0
524;3;0
525;4;0
526;4;0
527;4;0
528;3;0
529;4;0
530;4;0
531;4;0
532;3;0
533;3;0
534;3;0
535;3;0
536;3;0
537;3;0
538;3;0
539;3;0
540;4;0
541;4;0
542;4;0
543;4;0
544;4;0
545;3;0
546;3;0
547;3;0
548;3;0
549;3;0
550;3;0
551;3;0
552;3;0
553;4;0
554;3;0
555;4;0
556;3;0
557;4;0
558;5;0
559;4;0
560;3;0
561;3;0
562;4;0
563;3;0
564;3;0
565;3;0
566;3;0
567;3;0
568;5;0
569;4;0
570;5;0
571;4;0
572;3;0
573;3;0
574;3;0
575;5;0
576;4;0
577;3;0
578;3;0
579;3;0
580;3;0
581;4;0
582;3;0
583;3;0
584;3;0
585;3;0
586;3;0
587;5;0
588;3;0
589;3;0
590;3;0
591;4;0
592;3;0
593;4;0
594;3;0
595;5;0
596;4;0
597;4;0
598;3;0
599;3;0
600;3;0
601;3;0
602;3;0
603;3;0
604;3;0
605;3;0
606;3;0
607;3;0
608;3;0
609;3;0
610;5;0
611;4;0
612;3;0
613;5;0
614;3;0
615;4;0
616;3;0
617;3;0
618;3;0
619;3;0
620;3;0
621;3;0
622;3;0
623;3;0
624;3;0
625;3;0
626;3;0
627;3;0
628;3;0
629;5;0
630;4;0
631;3;0
632;4;0
633;3;0
634;4;0
635;3;0
636;3;0
637;3;0
638;5;0
639;3;0
640;5;0
641;3;0
642;3;0
643;3;0
644;4;0
645;3;0
646;3;0
647;5;0
648;3;0
649;5;0
650;4;0
651;3;0
652;4;0
653;4;0
654;3;0
655;3;0
656;3;0
657;3;0
658;3;0
659;3;0
660;5;0
661;3;0
662;3;0
663;3;0
664;3;0
665;3;0
666;3;0
667;5;0
668;3;0
669;4;0
670;5;0
671;3;0
672;4;0
673;4;0
674;4;0
675;3;0
676;3;0
677;5;0
678;3;0
679;5;0
680;4;0
681;3;0
682;4;0
683;4;0
684;3;0
685;4;0
686;3;0
687;4;0
688;3;0
689;4;0
690;4;0
691;3;0
692;3;0
693;4;0
694;4;0
695;4;0
696;4;0
697;4;0
698;3;0
699;3;0
700;4;0
701;3;0
702;3;0
703;4;0
704;4;0
705;5;0
706;4;0
707;4;0
708;4;0
709;3;0
710;3;0
711;5;0
712;4;0
713;4;0
714;4;0
715;4;0
716;3;0
717;5;0
718;4;0
719;3;0
720;3;0
721;4;0
722;4;0
723;4;0
724;4;0
725;4;0
726;3;0
727;4;0
728;3;0
729;4;0
730;3;0
731;4;0
732;4;0
733;3;0
734;4;0
735;4;0
736;4;0
737;3;0
738;4;0
739;3;0
740;3;0
741;4;0
742;3;0
743;4;0
744;4;0
745;4;0
746;4;0
747;4;0
748;3;0
749;3;0
750;4;0
751;3;0
752;4;0
753;3;0
754;4;0
755;4;0
756;3;0
757;4;0
758;4;0
759;3;0
760;4;0
761;4;0
762;3;0
763;3;0
764;4;0
765;4;0
766;4;0
767;4;0
768;4;0
769;3;0
770;4;0
771;3;0
772;4;0
773;4;0
774;3;0
775;4;0
776;3;0
777;4;0
778;4;0
779;4;0
780;3;0
781;4;0
782;3;0
783;3;0
784;4;0
785;3;0
786;3;0
787;3;0
788;4;0
789;4;0
790;4;0
791;4;0
792;4;0
793;4;0
794;4;0
795;4;0
796;4;0
797;4;0
798;3;0
799;3;0
800;4;0
801;4;0
802;3;0
803;3;0
804;3;0
805;4;0
806;3;0
807;3;0
808;3;0
809;4;0
810;4;0
811;4;0
812;4;0
813;3;0
814;3;0
815;3;0
816;4;0
817;3;0
818;4;0
819;4;0
820;3;0
821;3;0
822;4;0
823;4;0
824;3;0
825;4;0
826;4;0
827;3;0
828;4;0
829;4;0
830;4;0
831;3;0
832;4;0
833;4;0
834;3;0
835;3;0
836;3;0
837;4;0
838;4;0
839;4;0
840;4;0
841;3;0
842;3;0
843;3;0
844;3;0
845;4;0
846;3;0
847;4;0
848;4;0
849;3;0
850;4;0
851;3;0
852;4;0
853;4;0
854;4;0
855;4;0
856;4;0
857;4;0
858;4;0
859;4;0
860;4;0
861;4;0
862;3;0
863;3;0
864;4;0
865;4;0
866;4;0
867;4;0
868;4;0
869;3;0
870;3;0
871;3;0
872;3;0
873;4;0
874;3;0
875;4;0
876;4;0
877;4;0
878;4;0
879;4;0
880;4;0
881;4;0
882;4;0
883;4;0
884;4;0
885;3;0
886;4;0
887;4;0
888;4;0
889;4;0
890;4;0
891;4;0
892;4;0
893;4;0
894;3;0
895;3;0
896;4;0
897;3;0
898;4;0
899;4;0
900;3;0
901;4;0
902;4;0
903;3;0
904;3;0
905;4;0
906;3;0
907;3;0
908;3;0
909;3;0
910;4;0
911;4;0
912;4;0
913;4;0
914;3;0
915;4;0
916;3;0
917;3;0
918;3;0
919;4;0
920;4;0
921;4;0
922;4;0
923;3;0
924;3;0
925;3;0
926;4;0
927;4;0
928;4;0
929;4;0
930;3;0
931;4;0
932;3;0
933;4;0
934;4;0
935;3;0
936;3;0
937;4;0
938;3;0
939;3;0
940;4;0
941;4;0
942;3;0
943;4;0
944;3;0
945;3;0
946;4;0
947;4;0
948;3;0
949;4;0
950;4;0
951;4;0
952;4;0
953;3;0
954;3;0
955;3;0
956;4;0
957;3;0
958;4;0
959;3;0
960;3;0
961;3;0
962;4;0
963;3;0
964;4;0
965;3;0
966;3;0
967;3;0
968;3;0
969;3;0
970;3;0
971;3;0
972;3;0
973;3;0
974;3;0
975;4;0
976;4;0
977;3;0
978;4;0
979;4;0
980;4;0
981;4;0
982;3;0
983;3;0
984;4;0
985;4;0
986;4;0
987;4;0
988;3;0
989;3;0
990;4;0
991;4;0
992;3;0
993;3;0
994;3;0
995;3;0
996;3;0
997;4;0
998;4;0
999;3;0
1000;3;0
1001;3;0
1002;3;0
1003;3;0
1004;3;0
1005;3;0
1006;3;0
1007;3;0
1008;4;0
1009;3;0
1010;3;0
1011;4;0
1012;4;0
1013;3;0
1014;3;0
1015;3;0
1016;3;0
1017;3;0
1018;3;0
1019;3;0
1020;3;0
1021;3;0
1022;3;0
1023;3;0
1024;3;0
1025;3;0
1026;4;0
1027;3;0
1028;3;0
1029;3;0
1030;3;0
1031;4;0
1032;3;0
1033;3;0
1034;3;0
1035;3;0
1036;3;0
1037;3;0
1038;4;0
1039;3;0
1040;3;0
1041;3;0
1042;4;0
1043;3;0
1044;3;0
1045;3;0
1046;3;0
1047;3;0
1048;3;0
1049;3;0
1050;3;0
1051;4;0
1052;3;0
1053;3;0
1054;3;0
1055;4;0
1056;3;0
1057;3;0
1058;3;0
1059;3;0
1060;3;0
1061;3;0
1062;3;0
1063;4;0
1064;3;0
1065;3;0
1066;3;0
1067;4;0
1068;3;0
1069;3;0
1070;3;0
1071;3;0
1072;3;0
1073;3;0
1074;4;0
1075;4;0
1076;3;0
1077;3;0
1078;4;0
1079;4;0
1080;3;0
1081;3;0
1082;3;0
1083;3;0
1084;3;0
1085;3;0
1086;3;0
1087;4;0
1088;4;0
1089;3;0
1090;3;0
1091;4;0
1092;3;0
1093;3;0
1094;3;0
1095;3;0
1096;3;0
1097;3;0
1098;3;0
1099;4;0
1100;4;0
1101;3;0
1102;4;0
1103;3;0
1104;3;0
1105;3;0
1106;4;0
1107;3;0
1108;4;0
1109;4;0
1110;4;0
1111;3;0
1112;4;0
1113;3;0
1114;3;0
1115;3;0
1116;4;0
1117;3;0
1118;3;0
1119;3;0
1120;3;0
1121;3;0
1122;4;0
1123;4;0
1124;3;0
1125;3;0
1126;4;0
1127;3;0
1128;3;0
1129;3;0
1130;4;0
1131;3;0
1132;2;0
1133;3;0
1134;2;0
1135;4;0
1136;3;0
1137;2;0
1138;3;0
1139;3;0
1140;3;0
1141;3;0
1142;3;0
1143;3;0
1144;3;0
1145;3;0
1146;3;0
1147;3;0
1148;3;0
1149;3;0
1150;3;0
1151;3;0
1152;3;0
1153;3;0
1154;3;0
1155;4;0
1156;3;0
1157;3;0
1158;4;0
1159;3;0
1160;3;0
1161;3;0
1162;4;0
1163;4;0
1164;4;0
1165;3;0
1166;3;0
1167;3;0
1168;4;0
1169;4;0
1170;4;0
1171;4;0
1172;3;0
1173;4;0
1174;3;0
1175;3;0
1176;3;0
1177;3;0
1178;3;0
1179;4;0
1180;3;0
1181;3;0
1182;3;0
1183;4;0
1184;4;0
1185;3;0
1186;3;0
1187;3;0
1188;3;0
1189;4;0
1190;3;0
1191;3;0
1192;3;0
1193;3;0
1194;3;0
1195;3;0
1196;3;0
1197;3;0
1198;3;0
1199;4;0
1200;4;0
1201;4;0
1202;3;0
1203;4;0
1204;3;0
1205;4;0
1206;3;0
1207;3;0
1208;4;0
1209;4;0
1210;4;0
1211;3;0
1212;3;0
1213;3;0
1214;4;0
1215;3;0
1216;4;0
1217;3;0
1218;4;0
